y,m,d,T(ºC),P(mm/d),PET(mm/d),qout(mm/d)
2000,12,16,12.72,0,0,0
2000,12,17,15.23,0,20,0.63
2000,12,18,15.31,0,19.99,0.74
2000,12,19,12.82,0,19.99,0.63
2000,12,20,10.45,0,19.98,0.53
2000,12,21,11.05,0,19.96,0.43
2000,12,22,9.11,0,19.95,0.35
2000,12,23,10.48,0,19.93,0.27
2000,12,24,10.91,0,19.91,0.24
2000,12,25,11.83,0,19.88,0.22
2000,12,26,10.32,0,19.85,0.21
2000,12,27,10.97,0,19.82,0.19
2000,12,28,11.69,0,19.79,0.18
2000,12,29,9.98,0,19.75,0.16
2000,12,30,12.08,0,19.71,0.15
2000,12,31,12.95,0,19.67,0.14
2001,1,1,13.86,0,19.63,0.13
2001,1,2,14.51,0,19.58,0.12
2001,1,3,13.2,0,19.53,0.11
2001,1,4,14.39,0,19.47,0.1
2001,1,5,15.93,0,19.42,0.09
2001,1,6,14.68,0,19.36,0.08
2001,1,7,12.17,0,19.3,0.07
2001,1,8,11.24,0,19.23,0.06
2001,1,9,8.43,0,19.16,0.05
2001,1,10,11.7,0,19.09,0.05
2001,1,11,13.35,0,19.02,0.04
2001,1,12,13.57,0,18.94,0.03
2001,1,13,12.63,0,18.87,0.03
2001,1,14,13.67,0,18.79,0.02
2001,1,15,14.3,0,18.7,0.01
2001,1,16,14.86,0,18.62,0.01
2001,1,17,13,0,18.53,0.01
2001,1,18,11.91,0,18.44,0.01
2001,1,19,12.58,0,18.34,0.01
2001,1,20,12.63,0,18.25,0.01
2001,1,21,11.33,0,18.15,0.01
2001,1,22,12.3,0,18.05,0.01
2001,1,23,13.09,0,17.95,0.01
2001,1,24,13,0,17.84,0.01
2001,1,25,13.38,0,17.73,0.01
2001,1,26,12.83,0,17.62,0.01
2001,1,27,11.22,0,17.51,0.01
2001,1,28,11.65,0,17.4,0.01
2001,1,29,11.46,0,17.28,0.01
2001,1,30,11.85,0,17.16,0.01
2001,1,31,13.01,0,17.04,0.01
2001,2,1,14.34,0,16.92,0.01
2001,2,2,15.02,0,16.79,0.01
2001,2,3,13.88,0,16.67,0.01
2001,2,4,13.23,0,16.54,0.01
2001,2,5,15.34,0,16.41,0.01
2001,2,6,17.05,0,16.27,0.01
2001,2,7,15.89,0,16.14,0.01
2001,2,8,15.91,0,16,0.01
2001,2,9,16.29,0,15.86,0.01
2001,2,10,14.43,0,15.72,0.01
2001,2,11,14.96,0,15.58,0.01
2001,2,12,13.69,0,15.44,0.01
2001,2,13,15.08,0,15.29,0.01
2001,2,14,14.22,0,15.15,0.01
2001,2,15,13.89,0,15,0.01
2001,2,16,11.78,0,14.85,0.01
2001,2,17,13.69,0,14.7,0.01
2001,2,18,16.01,0,14.55,0.01
2001,2,19,16.66,0,14.39,0.01
2001,2,20,17.24,0,14.24,0.01
2001,2,21,15.99,0,14.08,0.01
2001,2,22,14.76,0,13.93,0.01
2001,2,23,13.84,0,13.77,0.01
2001,2,24,12.91,0,13.61,0.01
2001,2,25,14.88,0,13.45,0.01
2001,2,26,15.59,0,13.29,0.01
2001,2,27,15.71,0,13.12,0.01
2001,2,28,15.27,0,12.96,0.01
2001,3,1,14.02,0,12.79,0.01
2001,3,2,14.61,0,12.63,0.01
2001,3,3,15.3,0,12.46,0.01
2001,3,4,13.94,0,12.3,0.01
2001,3,5,11.78,0,12.13,0.01
2001,3,6,11.9,0,11.96,0.01
2001,3,7,11.92,0,11.79,0.01
2001,3,8,12.31,0,11.62,0.01
2001,3,9,11.88,0,11.45,0.01
2001,3,10,12.29,0,11.28,0.01
2001,3,11,12.23,0,11.11,0.01
2001,3,12,12.85,0,10.94,0.01
2001,3,13,16,0,10.77,0.01
2001,3,14,15.13,0,10.6,0.01
2001,3,15,14.21,0,10.43,0.01
2001,3,16,14.8,0,10.26,0.01
2001,3,17,14.94,0,10.09,0.01
2001,3,18,13.69,0,9.91,0.01
2001,3,19,12.84,0,9.74,0.01
2001,3,20,6.77,0,9.57,0.01
2001,3,21,6.85,0,9.4,0.01
2001,3,22,1.44,0,9.23,0.01
2001,3,23,2.37,0,9.06,0.01
2001,3,24,4.85,0,8.89,0.01
2001,3,25,6.68,0,8.72,0.01
2001,3,26,5.15,0,8.55,0.01
2001,3,27,7.14,0,8.38,0.01
2001,3,28,8.5,0,8.21,0.01
2001,3,29,8.52,0,8.04,0.01
2001,3,30,9.59,0,7.87,0.01
2001,3,31,7.23,0,7.7,0.01
2001,4,1,9.58,0,7.54,0.01
2001,4,2,11.03,0,7.37,0.01
2001,4,3,9.95,0,7.21,0.01
2001,4,4,5.16,0,7.04,0.01
2001,4,5,5.55,0,6.88,0.01
2001,4,6,5.74,0,6.71,0.01
2001,4,7,5.71,0,6.55,0.01
2001,4,8,6.1,0,6.39,0.01
2001,4,9,7.42,0,6.23,0.01
2001,4,10,8.33,0,6.07,0.01
2001,4,11,12.35,0,5.92,0.01
2001,4,12,11.76,0,5.76,0
2001,4,13,6.78,0,5.61,0
2001,4,14,9.18,0,5.45,0
2001,4,15,9.51,0,5.3,0
2001,4,16,10.78,0,5.15,0
2001,4,17,11.69,0,5,0
2001,4,18,11.27,0,4.85,0
2001,4,19,7.2,0,4.71,0
2001,4,20,5.81,0,4.56,0
2001,4,21,7.71,0,4.42,0
2001,4,22,0.82,19,4.28,0
2001,4,23,-5.94,0,4.14,0
2001,4,24,-3.9,0,4,0
2001,4,25,1.05,0,3.86,0
2001,4,26,1.48,0,3.73,0
2001,4,27,0.56,9,3.59,0
2001,4,28,-4.75,0,3.46,0
2001,4,29,-5.77,0,3.33,0
2001,4,30,-2.21,4,3.21,0
2001,5,1,2.15,0,3.08,0
2001,5,2,2.05,0,2.96,0
2001,5,3,3.54,0,2.84,0.01
2001,5,4,4.3,0,2.72,0.03
2001,5,5,1.64,0,2.6,0.08
2001,5,6,2.5,0,2.49,0.08
2001,5,7,0.82,0,2.38,0.07
2001,5,8,-0.58,0,2.27,0.06
2001,5,9,-0.88,0,2.16,0.05
2001,5,10,-3.12,0,2.05,0.04
2001,5,11,-3.91,0,1.95,0.04
2001,5,12,-2.94,1,1.85,0.03
2001,5,13,-1.23,0,1.75,0.03
2001,5,14,-0.69,0,1.66,0.02
2001,5,15,-4.19,4,1.56,0.01
2001,5,16,-4.49,0,1.47,0.01
2001,5,17,-0.29,0,1.38,0.01
2001,5,18,0.01,0,1.3,0.01
2001,5,19,0.2,0,1.21,0.01
2001,5,20,3.75,8,1.13,0.01
2001,5,21,-2.27,1,1.06,0.05
2001,5,22,2.27,0,0.98,0.07
2001,5,23,1.33,0,0.91,0.08
2001,5,24,2.92,2,0.84,0.07
2001,5,25,2.99,0,0.77,0.07
2001,5,26,2.65,2,0.7,0.07
2001,5,27,3.8,0,0.64,0.08
2001,5,28,5.34,2,0.58,0.07
2001,5,29,1.94,0,0.53,0.08
