y,m,d,Tair,Prec,Pet,Qobs
1982,1,1,3.3,0,0.84,1.004
1982,1,2,6,0,0.97,0.627
1982,1,3,11.5,0.4,1.25,0.925
1982,1,4,8,1.9,0.83,0.714
1982,1,5,7.6,0,0.83,0.689
1982,1,6,6.7,0.1,0.82,0.959
1982,1,7,8.2,0.1,1.42,0.979
1982,1,8,5.3,0,1.12,1.254
1982,1,9,5.4,0,1.29,1.242
1982,1,10,6,0,1.35,0.79
1982,1,11,8.9,0,1.69,0.732
1982,1,12,11.8,1,0.92,0.58
1982,1,13,9.4,0.1,0.88,0.562
1982,1,14,5.8,5.9,0.7,0.326
1982,1,15,7.2,0,1.2,1.129
1982,1,16,3.1,0,1.19,0.852
1982,1,17,2.9,0,1.31,0.78
1982,1,18,2.8,0,1.45,0.799
1982,1,19,1.1,0,1.27,0.616
1982,1,20,5.2,0.1,1.09,0.663
1982,1,21,7.8,0.1,1.19,0.711
1982,1,22,12.4,7,1.31,0.867
1982,1,23,14.6,0.1,1.2,0.723
1982,1,24,15.8,0,1.79,0.593
1982,1,25,11.8,0,1.25,0.522
1982,1,26,7.6,0.1,1,0.415
1982,1,27,7.9,0.1,0.92,0.522
1982,1,28,8.3,0,1.03,0.45
1982,1,29,5,0,0.88,0.364
1982,1,30,5.3,0.1,0.92,0.379
1982,1,31,8.8,0,1.18,0.957
1982,2,1,9.7,0,1.54,1.015
1982,2,2,12.7,0,1.2,1.137
1982,2,3,12.4,0.3,1.07,0.796
1982,2,4,8.2,4.1,1.54,0.975
1982,2,5,3.7,1.2,0.75,1.017
1982,2,6,2.4,8.5,0.71,0.785
1982,2,7,4.2,11.5,0.73,1.639
1982,2,8,2.9,18.1,0.76,1.474
1982,2,9,3,38.7,0.75,2.864
1982,2,10,3.2,29.1,0.84,6.109
1982,2,11,2.6,36.7,0.65,8.393
1982,2,12,3.6,0.1,0.88,5.13
1982,2,13,5,9.3,0.82,2.991
1982,2,14,3,2.1,0.74,2.339
1982,2,15,4.5,0.3,0.91,2.339
1982,2,16,6.3,0,1,1.633
1982,2,17,6.8,0,1.73,1.651
1982,2,18,9,10.2,1.06,1.423
1982,2,19,14.8,0.1,1.84,1.574
1982,2,20,12.2,1.5,1.41,1.108
1982,2,21,12.7,0.1,2.4,0.691
1982,2,22,12.5,11.1,1.14,1.459
1982,2,23,11.4,10.5,1.11,2.157
1982,2,24,8.7,0,1.16,2.067
1982,2,25,7.8,0.7,1.1,1.59
1982,2,26,7.7,6.2,1.01,1.583
1982,2,27,9.5,5.2,1.15,1.831
1982,2,28,11.2,1.3,1.3,1.849
1982,3,1,9.3,0,1.57,1.584
1982,3,2,10.2,0,1.99,1.265
1982,3,3,11.6,0.5,1.27,1.03
1982,3,4,17.3,0.1,2.1,0.926
1982,3,5,18.6,19,2.06,1.314
1982,3,6,11.3,12.5,1.22,3.774
1982,3,7,6.8,34.8,0.99,8.81
1982,3,8,4.9,31,0.9,9.916
1982,3,9,7,0.1,1.19,7.415
1982,3,10,11.5,0,1.32,3.734
1982,3,11,12.8,10.6,1.33,3.227
1982,3,12,16.8,0.2,1.86,3.292
1982,3,13,16.3,27.7,1.36,6.798
1982,3,14,17.3,0.4,1.55,5.62
1982,3,15,14.5,22.5,1.4,6.345
1982,3,16,14.2,0.3,1.7,4.931
1982,3,17,18.6,0.1,1.81,3.481
1982,3,18,17.9,0.1,1.73,2.647
1982,3,19,19.1,0,2.24,2.502
1982,3,20,13.5,0.1,1.72,1.635
1982,3,21,13.6,0.1,1.63,1.613
1982,3,22,17.6,9.8,1.66,1.682
1982,3,23,19.9,0,3.08,1.584
1982,3,24,13.6,6.9,1.46,1.94
1982,3,25,7.2,7.3,1.19,2.357
1982,3,26,8.1,15.6,1.17,2.737
1982,3,27,6.9,1.5,1.15,2.81
1982,3,28,8.5,2.4,1.3,2.175
1982,3,29,10.6,0.6,1.44,2.212
1982,3,30,15.1,0,2.67,1.976
1982,3,31,15.8,20.7,2.29,2.219
1982,4,1,18.8,13.7,2.46,5.475
1982,4,2,19.8,2.8,2.67,3.502
1982,4,3,15.6,4.8,1.69,3.553
1982,4,4,9.1,24.2,1.23,6.146
1982,4,5,9,1.3,1.42,5.674
1982,4,6,11.5,0.8,1.59,3.419
1982,4,7,12.9,0,3.12,2.629
1982,4,8,13.1,0.1,1.86,2.429
1982,4,9,12.4,0.1,2.92,2.067
1982,4,10,12.2,0,3.37,1.903
1982,4,11,15.6,0,3.45,1.931
1982,4,12,18.8,0,3.09,1.338
1982,4,13,16.7,10.6,1.78,1.559
1982,4,14,16.1,0.4,3.64,1.994
1982,4,15,15.2,0,3.7,1.782
1982,4,16,17.2,0,3.2,1.398
1982,4,17,14.6,2.8,1.77,1.298
1982,4,18,16.1,0.2,2.23,1.34
1982,4,19,17.2,0.1,2.34,1.436
1982,4,20,19.7,0.1,2.57,1.389
1982,4,21,20,2.5,1.95,1.632
1982,4,22,18.1,7.6,1.85,2.19
1982,4,23,19.4,4.7,2.57,2.139
1982,4,24,19.2,17.3,2.18,2.393
1982,4,25,19.1,27.7,2.17,7.197
1982,4,26,20.3,0.3,3.51,5.13
1982,4,27,20.2,0,4.18,2.375
1982,4,28,19.7,0,2.05,1.778
1982,4,29,18.3,4.9,1.86,1.806
1982,4,30,17.1,10.1,1.93,2.777
1982,5,1,17.9,14.3,2.86,4.333
1982,5,2,17.7,0.1,2.56,3.493
1982,5,3,18.4,0,3.99,2.179
1982,5,4,19.3,0,3.1,1.671
1982,5,5,19.4,11.6,2.02,2.049
1982,5,6,18.8,32.7,1.98,7.503
1982,5,7,17,23.9,1.84,5.275
1982,5,8,21.2,0.4,3.58,5.48
1982,5,9,22.5,0,4.28,5.384
1982,5,10,20.9,100.3,2.1,46.481
1982,5,11,21.5,38.4,2.01,19.144
1982,5,12,24,0.8,2.62,10.478
1982,5,13,19,6.6,1.92,6.291
1982,5,14,13.3,5.8,1.69,5.587
1982,5,15,16.4,1.3,1.87,4.877
1982,5,16,20.6,0.1,2.52,4.093
1982,5,17,23.5,0.1,3.02,3.444
1982,5,18,24.3,15.2,3.9,3.662
1982,5,19,24.2,0,3.68,3.716
1982,5,20,23.7,0,3.85,2.398
1982,5,21,22.9,0,4.52,2.456
1982,5,22,22.2,0,4.88,2.114
1982,5,23,23,0,4.89,2.067
1982,5,24,24,0,4.91,1.987
1982,5,25,24.5,0,4.38,1.874
1982,5,26,21.3,0.1,2.4,1.945
1982,5,27,20.5,11,2.11,2.047
1982,5,28,21.1,17.8,2.11,4.282
1982,5,29,23.3,0.1,2.89,5.42
1982,5,30,25.7,0.4,4.4,4.655
1982,5,31,24,0.1,4.22,3.464
1982,6,1,22.7,17.1,3.82,2.647
1982,6,2,21.5,10.3,2.05,5.312
1982,6,3,19.3,0,4.01,2.955
1982,6,4,19.7,0,4.6,2.91
1982,6,5,20.1,0.1,3.28,3.2
1982,6,6,18.8,8.2,1.93,1.998
1982,6,7,19.4,9.8,2.06,3.301
1982,6,8,21.6,7.2,2.17,3.727
1982,6,9,22,0.6,2.4,2.968
1982,6,10,22.5,0,3.74,3.087
1982,6,11,24.2,0.5,2.32,3.288
1982,6,12,24.6,2.9,2.6,3.022
1982,6,13,22.3,60.3,2.13,4.869
